epoch,loss,val_loss
0,13.346253728866577,7.991834211349487
1,8.631523766517638,7.927297830581665
2,7.972785739898682,7.971012163162231
3,7.991498475074768,7.428090381622314
4,7.822624707221985,8.080763006210328
5,7.759708070755005,7.896660423278808
6,7.892557039260864,9.99281349182129
7,7.9020574760437015,8.12324595451355
8,7.740866370201111,8.28976788520813
9,7.859758095741272,7.731107091903686
10,7.918614954948425,7.26777229309082
11,7.875587973594666,8.419154071807862
12,7.678755221366882,7.941533899307251
13,7.689566192626953,7.252986049652099
14,7.729773969650268,7.515579271316528
15,7.771809997558594,7.649580192565918
16,7.670823822021484,7.960583972930908
17,7.758688941001892,7.700928354263306
18,7.626929769515991,7.585583972930908
19,7.73287193775177,7.670437622070312
20,7.699023818969726,7.4593071937561035
21,7.735656399726867,7.5253650665283205
22,7.650880451202393,7.701329565048217
23,7.670923213958741,7.750371217727661
24,7.631349635124207,7.3653100490570065
25,7.643029680252075,7.492680263519287
26,7.603686747550964,7.347507762908935
27,7.579811396598816,7.321568536758423
28,7.417374997138977,7.466289043426514
29,7.425606565475464,7.370165538787842
30,7.432197089195252,7.508853960037231
31,7.529177260398865,7.358856439590454
32,7.544735851287842,7.5720375061035154
33,7.426561613082885,7.481090450286866
34,7.422460808753967,7.584990787506103
35,7.375167999267578,7.727907466888428
36,7.437368021011353,7.7271476745605465
37,7.455563082695007,7.118368482589721
38,7.441018328666687,7.936932182312011
39,7.429976758956909,7.4476806163787845
40,7.434743785858155,7.616584539413452
41,7.406550407409668,7.542199611663818
42,7.4165660715103146,7.371258211135864
43,7.355208821296692,7.507605743408203
44,7.396062555313111,7.429573965072632
45,7.409478673934936,7.140202474594116
46,7.517319846153259,7.524230432510376
47,7.486472578048706,7.43145170211792
48,7.403607997894287,7.341768503189087
49,7.393540258407593,7.421337985992432
50,7.384615907669067,7.394722270965576
51,7.414135951995849,7.212608861923218
52,7.457163524627686,7.328895425796508
53,7.360167841911316,7.3651806831359865
54,7.406869368553162,7.23498272895813
55,7.421669821739197,7.322819757461548
56,7.350875096321106,7.542452049255371
57,7.341966590881348,7.401053857803345
58,7.341869158744812,7.4442352771759035
59,7.383571810722351,7.231330394744873
60,7.418439588546753,7.265905094146729
61,7.449372873306275,7.5142981052398685
62,7.324007844924926,7.697076320648193
63,7.3911828565597535,7.289264726638794
64,7.451231837272644,7.3308947563171385
65,7.330586757659912,7.346832036972046
66,7.2983725643157955,7.522622585296631
67,7.365091624259949,7.52868537902832
68,7.463821859359741,7.651331758499145
69,7.456780309677124,7.3816078186035154
70,7.335224781036377,7.37670111656189
71,7.3380767488479615,7.524009799957275
72,7.5245617437362675,7.373150587081909
73,7.4264804553985595,7.490791940689087
74,7.355466279983521,7.285121250152588
75,7.456363739967347,7.226277160644531
76,7.419958934783936,7.311551904678344
77,7.415747861862183,7.1811607837677
78,7.404505829811097,7.271476459503174
79,7.4719646501541135,7.16877851486206
80,7.453907566070557,7.531680870056152
81,7.401088361740112,7.370858907699585
82,7.39544075012207,7.218599843978882
83,7.3781536674499515,7.4694873809814455
84,7.413201279640198,7.161144971847534
85,7.357276039123535,7.098253297805786
86,7.396314644813538,7.187901496887207
87,7.389190402030945,6.997666931152343
88,7.405192551612854,7.198240137100219
89,7.371122093200683,7.503988361358642
90,7.366257085800171,7.400734233856201
91,7.440097808837891,7.175952339172364
92,7.459741039276123,7.234076023101807
93,7.405955672264099,7.2783466339111325
94,7.493018636703491,7.313110876083374
95,7.353373274803162,7.560412406921387
96,7.327910943031311,7.268410062789917
97,7.3830195236206055,7.414967823028564
98,7.334959721565246,7.139813470840454
99,7.433727679252624,7.481047487258911
